codigo,nome
3,Alfa Romeo
189,ASTON MARTIN
6,Audi
7,BMW
238,BYD
10,Cadillac
245,Caoa Chery
161,Caoa Chery/Chery
12,Chrysler
13,CitroÃ«n
14,Cross Lander
20,Ferrari
21,Fiat
22,Ford
254,GAC
23,GM - Chevrolet
240,GWM
152,HAFEI
214,HITECH ELECTRIC
25,Honda
26,Hyundai
27,Isuzu
177,JAC
251,Jaecoo
28,Jaguar
29,Jeep
264,Jetour
31,Kia Motors
171,LAMBORGHINI
33,Land Rover
34,Lexus
36,Maserati
38,Mazda
39,Mercedes-Benz
156,MINI
41,Mitsubishi
43,Nissan
252,Omoda
44,Peugeot
47,Porsche
185,RAM
48,Renault
195,Rolls-Royce
49,Rover
52,Seat
125,SSANGYONG
54,Subaru
55,Suzuki
56,Toyota
57,Troller
58,Volvo
59,VW - VolksWagen
